player_id,name,team,age,games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,fg3_pct,ft_pct,plus_minus,off_rating,def_rating,net_rating,ts_pct,eff_fg_pct,usage,ast_pct,reb_pct,pie,games_missed_est,availability_pct,updated_at
1631104,Blake Wesley,SAS,22.0,58,11.8,3.7,1.1,2.0,0.6,0.1,0.9,0.435,0.293,0.623,-0.2,110.2,109.7,0.5,0.51,0.481,0.165,0.225,0.044,0.066,0,116.0,2026-01-28T16:47:17.846577
1626171,Bobby Portis,MIL,30.0,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,0.836,1.9,114.1,110.8,3.4,0.542,0.52,0.234,0.126,0.156,0.131,1,98.0,2026-01-28T16:47:17.846577
1641752,Bobi Klintman,DET,22.0,8,5.3,1.9,0.9,0.9,0.3,0.1,0.1,0.6,0.4,0.5,0.0,121.4,117.2,4.2,0.689,0.7,0.121,0.212,0.095,0.095,42,16.0,2026-01-28T16:47:17.846577
203992,Bogdan Bogdanović,LAC,32.0,54,25.0,10.8,2.9,2.7,0.8,0.2,1.4,0.427,0.363,0.879,2.0,112.7,110.0,2.7,0.559,0.534,0.183,0.152,0.057,0.074,0,108.0,2026-01-28T16:47:17.846577
1629626,Bol Bol,PHX,25.0,36,12.5,6.8,2.9,0.6,0.3,0.7,0.6,0.525,0.344,0.769,-1.0,112.1,115.9,-3.9,0.627,0.612,0.204,0.071,0.113,0.114,14,72.0,2026-01-28T16:47:17.846577
1630538,Bones Hyland,MIN,24.0,24,9.9,6.2,1.0,1.3,0.8,0.2,1.0,0.398,0.39,0.885,-1.3,102.0,108.1,-6.1,0.576,0.534,0.274,0.246,0.051,0.108,26,48.0,2026-01-28T16:47:17.846577
203078,Bradley Beal,PHX,32.0,53,32.1,17.0,3.3,3.7,1.1,0.5,1.9,0.497,0.386,0.803,-5.2,110.6,118.6,-8.0,0.598,0.571,0.219,0.177,0.054,0.093,0,106.0,2026-01-28T16:47:17.846577
1642382,Branden Carlson,OKC,26.0,32,7.7,3.8,1.7,0.4,0.2,0.7,0.2,0.443,0.333,0.778,1.3,115.1,105.8,9.4,0.581,0.557,0.185,0.077,0.099,0.101,18,64.0,2026-01-28T16:47:17.846577
1641764,Brandin Podziemski,GSW,22.0,64,26.8,11.7,5.1,3.4,1.1,0.2,1.2,0.445,0.372,0.758,4.1,111.6,105.1,6.6,0.557,0.537,0.177,0.194,0.089,0.114,0,128.0,2026-01-28T16:47:17.846577
1630527,Brandon Boston,NOP,23.0,42,23.6,10.7,3.2,2.2,1.3,0.2,1.2,0.436,0.35,0.788,-3.3,108.6,114.8,-6.2,0.535,0.5,0.199,0.14,0.065,0.085,8,84.0,2026-01-28T16:47:17.846577
